T,E,C,target
12,0.1064,0.625493049,0.251010421
25,0.4105,0.498609684,0.271154081
49,0.6164,0.513003907,0.290217737
61,0.5061,0.423741244,0.293632606
61,0.5995,0.440955131,0.296796384
49,0.6085,0.530040738,0.28959212
31,0.6144,0.548301997,0.280734649
61,0.7663,0.510739464,0.301690615
61,0.7246,0.442883736,0.301442976
25,0.1657,0.543242041,0.261124335
49,0.2271,0.505996189,0.275777436
37,0.2363,0.600531326,0.268475159
37,0.2725,0.461486926,0.272522406
31,0.2836,0.520910276,0.268879304
37,0.3867,0.558818247,0.274913913
49,0.4167,0.52142151,0.28257771
43,0.4242,0.521415619,0.279950355
61,0.545,0.459120264,0.294404151
61,0.6203,0.476635352,0.296884407
61,0.6297,0.466518127,0.297432223
61,0.6358,0.461369409,0.297760294
61,0.6667,0.401207682,0.300081952
61,0.7112,0.440661497,0.300984282
73,0.7357,0.428701715,0.307949698
37,0.7437,0.461433016,0.290165875
49,0.7629,0.458084287,0.296766144
61,0.7705,0.446246415,0.303096439
61,0.7705,0.456526657,0.302897416
61,0.775,0.4567538,0.303061505
73,0.7758,0.454131307,0.308958791
49,0.7767,0.457417686,0.297295741
61,0.7794,0.419176714,0.303953731
49,0.6154,0.515121983,0.29013929
24,0.1061,0.520916364,0.258840329
31,0.1967,0.534919158,0.265354431
37,0.2599,0.527602014,0.270770671
25,0.2604,0.505473627,0.26540123
31,0.2725,0.60916331,0.266755147
37,0.2725,0.478057083,0.272201612
25,0.2845,0.57511937,0.264955246
41,0.2997,0.585997308,0.273069178
49,0.3435,0.446558702,0.281286319
25,0.3543,0.513209773,0.268767215
37,0.3588,0.503298733,0.274944139
37,0.4161,0.586921616,0.275470618
37,0.4442,0.544732168,0.277339501
61,0.4541,0.514977613,0.289919336
49,0.4545,0.421895795,0.285919791
25,0.4551,0.646230451,0.269966069
61,0.4709,0.443189319,0.291938156
37,0.4726,0.503247717,0.279205967
31,0.4726,0.572282359,0.274961193
49,0.4848,0.402065113,0.287438185
37,0.5162,0.569973818,0.279546615
37,0.5311,0.532473406,0.280830492
36,0.5312,0.518690218,0.280616362
61,0.5525,0.405350235,0.295725936
