T,E,C,target,R_adjusted_predicted
12,0.1064,0.625493049,0.251010421,0.24891252679495118
25,0.4105,0.498609684,0.271154081,0.2729715529675065
49,0.6164,0.513003907,0.290217737,0.28861928258642405
61,0.5061,0.423741244,0.293632606,0.2898083545533177
61,0.5995,0.440955131,0.296796384,0.29318031862267774
49,0.6085,0.530040738,0.28959212,0.28765501715210406
31,0.6144,0.548301997,0.280734649,0.28209719261897176
61,0.7663,0.510739464,0.301690615,0.29776855391491774
61,0.7246,0.442883736,0.301442976,0.2984725372470778
25,0.1657,0.543242041,0.261124335,0.2608380768184665
49,0.2271,0.505996189,0.275777436,0.27218731499138404
37,0.2363,0.600531326,0.268475159,0.2658903013396226
37,0.2725,0.461486926,0.272522406,0.2725479057076226
31,0.2836,0.520910276,0.268879304,0.26892162061409175
37,0.3867,0.558818247,0.274913913,0.2738696536005026
49,0.4167,0.52142151,0.28257771,0.279749049204264
43,0.4242,0.521415619,0.279950355,0.2785487425413537
61,0.545,0.459120264,0.294404151,0.2901768799389177
61,0.6203,0.476635352,0.296884407,0.29276183690755775
61,0.6297,0.466518127,0.297432223,0.29353631940955777
61,0.6358,0.461369409,0.297760294,0.2939868873345178
61,0.6667,0.401207682,0.300081952,0.29752070894995775
61,0.7112,0.440661497,0.300984282,0.29797967986315776
73,0.7357,0.428701715,0.307949698,0.301706377743724
37,0.7437,0.461433016,0.290165875,0.29275022928282257
49,0.7629,0.458084287,0.296766144,0.29691638603282405
61,0.7705,0.446246415,0.303096439,0.30031679267419775
61,0.7705,0.456526657,0.302897416,0.2999393021879577
61,0.775,0.4567538,0.303061505,0.30012387649699773
73,0.7758,0.454131307,0.308958791,0.302491690125484
49,0.7767,0.457417686,0.297295741,0.297532469621544
61,0.7794,0.419176714,0.303953731,0.3016923350949177
49,0.6154,0.515121983,0.29013929,0.28849863683570404
24,0.1061,0.520916364,0.258840329,0.2587000587573412
31,0.1967,0.534919158,0.265354431,0.2646818114670518
37,0.2599,0.527602014,0.270770671,0.2695799976762626
25,0.2604,0.505473627,0.26540123,0.2662847219805465
31,0.2725,0.60916331,0.266755147,0.2652051122056117
37,0.2725,0.478057083,0.272201612,0.2719394495425826
25,0.2845,0.57511937,0.264955246,0.2647604972975865
41,0.2997,0.585997308,0.273069178,0.2702954812275726
49,0.3435,0.446558702,0.281286319,0.27935992751402405
25,0.3543,0.513209773,0.268767215,0.2700261436994265
37,0.3588,0.503298733,0.274944139,0.2747122571545826
37,0.4161,0.586921616,0.275470618,0.2740980758908226
37,0.4442,0.544732168,0.277339501,0.2768519194213826
61,0.4541,0.514977613,0.289919336,0.28422891508363773
49,0.4545,0.421895795,0.285919791,0.28502411945906403
25,0.4551,0.646230451,0.269966069,0.26946292040326647
61,0.4709,0.443189319,0.291938156,0.28758519723931775
37,0.4726,0.503247717,0.279205967,0.2795927364621026
31,0.4726,0.572282359,0.274961193,0.27513766772633175
49,0.4848,0.402065113,0.287438185,0.28705126310210405
37,0.5162,0.569973818,0.279546615,0.27901168603338256
37,0.5311,0.532473406,0.280830492,0.2810274641620226
36,0.5312,0.518690218,0.280616362,0.28123476630350236
61,0.5525,0.405350235,0.295725936,0.29247284040379773
48,0.5534,0.430348874,0.288974391,0.2887105846595013
61,0.5539,0.419732901,0.29549991,0.2920047269082777
49,0.5721,0.501270683,0.288786231,0.28715098557170404
61,0.5721,0.498353546,0.294659268,0.2898980108238777
49,0.5797,0.517457174,0.28875742,0.286882429622184
61,0.5904,0.448715739,0.296305423,0.29250523209691776
61,0.5993,0.420428519,0.297186286,0.29392548181531775
37,0.6061,0.470521168,0.284837983,0.2865176003413826
49,0.6061,0.443339773,0.29118077,0.2907357885869041
61,0.6073,0.45980743,0.296723452,0.29282244820339776
49,0.6073,0.445255927,0.291188603,0.29071687141202407
61,0.6073,0.561435275,0.294755962,0.28909067373499775
37,0.6077,0.500035959,0.28432649,0.2855024092158626
37,0.6188,0.503760846,0.284669978,0.2858414883652226
37,0.6242,0.477339467,0.285383673,0.28704317940210256
61,0.638,0.436935711,0.298315696,0.29497840672507775
73,0.6478,0.428060699,0.304671002,0.29796164285124405
25,0.6489,0.554106923,0.279005717,0.2811539023514265
61,0.663,0.410125853,0.299770765,0.29703461471083775
61,0.6812,0.453975753,0.299603277,0.29620468038283776
49,0.6865,0.525194974,0.292606368,0.2911768136061841
49,0.6865,0.502936602,0.293037285,0.29199414102602406
61,0.6875,0.436426068,0.300178916,0.29711918581603775
37,0.6883,0.538507359,0.286599477,0.2875450614078626
49,0.6947,0.412376738,0.295097522,0.29567103323210403
